[2025-03-15 22:23:41,962 - INFO]: Listing CASIA-B
[2025-03-15 22:23:53,418 - INFO]: Total files listed: 1118373
[2025-03-15 22:23:53,457 - INFO]: Start pretreating CASIA-B
[2025-03-15 22:23:53,558 - INFO]: Saved 71 valid frames to CASIA-B-pkl/039/nm-03/108/108.pkl.
[2025-03-15 22:23:53,572 - INFO]: Saved 88 valid frames to CASIA-B-pkl/039/nm-03/126/126.pkl.
[2025-03-15 22:23:53,602 - INFO]: Saved 90 valid frames to CASIA-B-pkl/039/nm-03/180/180.pkl.
[2025-03-15 22:23:53,620 - INFO]: Saved 100 valid frames to CASIA-B-pkl/039/nm-03/018/018.pkl.
[2025-03-15 22:23:53,659 - INFO]: Saved 71 valid frames to CASIA-B-pkl/039/nm-03/072/072.pkl.
[2025-03-15 22:23:53,686 - INFO]: Saved 64 valid frames to CASIA-B-pkl/039/nm-03/090/090.pkl.
[2025-03-15 22:23:53,729 - INFO]: Saved 102 valid frames to CASIA-B-pkl/039/nm-03/054/054.pkl.
[2025-03-15 22:23:53,739 - INFO]: Saved 100 valid frames to CASIA-B-pkl/039/nm-03/000/000.pkl.
[2025-03-15 22:23:53,751 - INFO]: Saved 88 valid frames to CASIA-B-pkl/039/nm-03/144/144.pkl.
[2025-03-15 22:23:53,780 - INFO]: Saved 90 valid frames to CASIA-B-pkl/039/nm-03/162/162.pkl.
[2025-03-15 22:23:53,818 - INFO]: Saved 75 valid frames to CASIA-B-pkl/039/cl-02/126/126.pkl.
[2025-03-15 22:23:53,839 - INFO]: Saved 61 valid frames to CASIA-B-pkl/039/cl-02/108/108.pkl.
[2025-03-15 22:23:53,845 - INFO]: Saved 78 valid frames to CASIA-B-pkl/039/cl-02/180/180.pkl.
[2025-03-15 22:23:53,876 - INFO]: Saved 100 valid frames to CASIA-B-pkl/039/nm-03/036/036.pkl.
[2025-03-15 22:23:53,913 - INFO]: Saved 60 valid frames to CASIA-B-pkl/039/cl-02/072/072.pkl.
[2025-03-15 22:23:53,970 - INFO]: Saved 91 valid frames to CASIA-B-pkl/039/cl-02/054/054.pkl.
[2025-03-15 22:23:53,970 - INFO]: Saved 54 valid frames to CASIA-B-pkl/039/cl-02/090/090.pkl.
[2025-03-15 22:23:53,982 - INFO]: Saved 109 valid frames to CASIA-B-pkl/039/cl-02/018/018.pkl.
[2025-03-15 22:23:54,007 - INFO]: Saved 100 valid frames to CASIA-B-pkl/039/cl-02/000/000.pkl.
[2025-03-15 22:23:54,049 - INFO]: Saved 76 valid frames to CASIA-B-pkl/039/cl-02/144/144.pkl.
[2025-03-15 22:23:54,055 - INFO]: Saved 77 valid frames to CASIA-B-pkl/039/cl-02/162/162.pkl.
[2025-03-15 22:23:54,096 - INFO]: Saved 86 valid frames to CASIA-B-pkl/039/nm-04/126/126.pkl.
[2025-03-15 22:23:54,125 - INFO]: Saved 67 valid frames to CASIA-B-pkl/039/nm-04/108/108.pkl.
[2025-03-15 22:23:54,136 - INFO]: Saved 94 valid frames to CASIA-B-pkl/039/cl-02/036/036.pkl.
[2025-03-15 22:23:54,150 - INFO]: Saved 88 valid frames to CASIA-B-pkl/039/nm-04/180/180.pkl.
[2025-03-15 22:23:54,223 - INFO]: Saved 69 valid frames to CASIA-B-pkl/039/nm-04/072/072.pkl.
[2025-03-15 22:23:54,250 - INFO]: Saved 107 valid frames to CASIA-B-pkl/039/nm-04/018/018.pkl.
[2025-03-15 22:23:54,274 - INFO]: Saved 101 valid frames to CASIA-B-pkl/039/nm-04/054/054.pkl.
[2025-03-15 22:23:54,283 - INFO]: Saved 107 valid frames to CASIA-B-pkl/039/nm-04/000/000.pkl.
[2025-03-15 22:23:54,290 - INFO]: Saved 63 valid frames to CASIA-B-pkl/039/nm-04/090/090.pkl.
[2025-03-15 22:23:54,342 - INFO]: Saved 86 valid frames to CASIA-B-pkl/039/nm-04/144/144.pkl.
